Scene,Sindex,Num,Noise_Rate,Jaccard,Precisiom,Recall,best_argminC,best_avgConf
S2,5,20,0.2,0.7222222222222222,0.3805380755937097,0.7610761511874194,0.02021101522978866,0.4962964682321021
S2,5,20,0.4,0.6,0.3805380755937097,0.7610761511874194,0.2829227201310535,0.3585386399344732
S2,5,20,0.6,0.4,0.3805380755937097,0.7610761511874194,0.42074306279161855,0.11441463553506354
S2,5,20,0.8,0.2,0.7610761511874194,0.7610761511874194,0.11189169212541364,0.0
S2,5,40,0.0,1.0,0.2536920503958065,0.7610761511874194,0.44384820901106403,0.10684464596568137
S2,5,40,0.2,0.75,0.3805380755937097,0.7610761511874194,0.02712580393133037,0.5149696964447563
S2,5,40,0.4,0.631578947368421,0.3805380755937097,0.7610761511874194,0.0767362777772047,0.4183538741322041
S2,5,40,0.6,0.41025641025641024,0.3805380755937097,0.7610761511874194,0.49013499791011716,0.2549325010449414
S2,5,40,0.8,0.2,0.2536920503958065,0.7610761511874194,0.3798496541926686,0.24572893978995447
S2,5,60,0.0,1.0,0.4236273726669201,0.8472547453338402,0.478029716216144,0.21245907543600195
S2,5,60,0.2,0.8571428571428571,0.3805380755937097,0.7610761511874194,0.35174974586295144,0.32412512706852425
S2,5,60,0.4,0.6,0.3805380755937097,0.7610761511874194,0.3769817791749537,0.056443276329129474
S2,5,60,0.6,0.4067796610169492,0.3805380755937097,0.7610761511874194,0.17480171020849938,0.41259914489575034
S2,5,60,0.8,0.2857142857142857,0.2536920503958065,0.7610761511874194,0.23173444774488716,0.24010304922050887
S2,5,80,0.0,0.9875,0.3805380755937097,0.7610761511874194,0.31005611874384614,0.09359288743728301
S2,5,80,0.2,0.810126582278481,0.3805380755937097,0.7610761511874194,0.4889900434311217,0.2235668559988843
S2,5,80,0.4,0.6075949367088608,0.2536920503958065,0.7610761511874194,0.47281223732483313,0.2274936606861561
S2,5,80,0.6,0.4507042253521127,0.3805380755937097,0.7610761511874194,0.05370223767374876,0.47314888116312565
S2,5,80,0.8,0.22535211267605634,0.3805380755937097,0.7610761511874194,0.03774781259335837,0.12218546968010237
S2,5,100,0.0,0.98,0.3805380755937097,0.7610761511874194,0.39525365653916145,0.3023731717304193
S2,5,100,0.2,0.8333333333333334,0.3805380755937097,0.7610761511874194,0.19500445538471917,0.07281314509948461
S2,5,100,0.4,0.6060606060606061,0.3805380755937097,0.7610761511874194,0.3581479345528022,0.3209260327235989
S2,5,100,0.6,0.47058823529411764,0.3805380755937097,0.7610761511874194,0.0540220008813518,0.4729889995593241
S2,5,100,0.8,0.20833333333333334,0.2536920503958065,0.7610761511874194,0.29130946251344597,0.30380584524419046
Scene,Sindex,Num,Noise_Rate,Jaccard,Precisiom,Recall,best_argminC,best_avgConf
S3,1,10,0.0,1.0,1.0,1.0,0.8180606421432925,0.18153922955892635
S3,1,10,0.2,0.7777777777777778,0.3508142338800037,0.7016284677600074,0.7489400198000739,0.07905015959608205
