Path,Edge,Graph,Cluster,Total,Jac,Precision,Recall,CC,avgConf,OriNum
"Samples\AvailableSamples\S5\6_7\P[0.4, 0.6]_Q[0, 1].json",0.011967659,0.007979155,0.129652739,0.149599552,1,0.613289336,0.613289336,0.227815281,0.53072841,568
"Samples\AvailableSamples\S5\6_7\P[0.6, 0.8]_Q[0, 1].json",0.006981373,0.005981922,0.165559292,0.178522587,0.95,0.705917667,0.705917667,0.247292825,0.660757319,163
"Samples\AvailableSamples\S5\6_7\P[0.8, 1.0]_Q[0, 1].json",0.00199461,0.000997066,0.0359056,0.038897276,1,0.618778823,0.618778823,0,0.966441331,52
SamNum,20,min_support,0.3,gamma,0.8,avgRecall,0.464271967,,,
"Samples\AvailableSamples\S5\1_2\P[0, 0.2]_Q[0, 1].json",0.027892828,0.020943403,0.16021657,0.209052801,0.966666667,0.203015142,0.101507571,-0.815542058,0.21447037,2596
"Samples\AvailableSamples\S5\1_2\P[0.2, 0.4]_Q[0, 1].json",0.014960289,0.009972811,0.170544147,0.195477247,0.9,0.306002722,0.306002722,0.474367593,0.360400741,2193
"Samples\AvailableSamples\S5\1_2\P[0.4, 0.6]_Q[0, 1].json",0.016954422,0.024931192,0.32313776,0.365023375,1,0.350127043,0.350127043,0.25158247,0.569201713,736
"Samples\AvailableSamples\S5\1_2\P[0.6, 0.8]_Q[0, 1].json",0.010970354,0.007978439,0.078789473,0.097738266,1,0.509029065,0.509029065,0.012629058,0.530558261,184
"Samples\AvailableSamples\S5\1_2\P[0.8, 1.0]_Q[0, 1].json",0.004986525,0.001994371,0.075797796,0.082778692,1,0.699105346,0.699105346,0,0.899851152,101
"Samples\AvailableSamples\S5\1_4\P[0, 0.2]_Q[0, 1].json",0.02692771,0.017952681,0.141620398,0.186500788,1,0.197246994,0.197246994,0.643889714,0.244381183,3309
"Samples\AvailableSamples\S5\1_4\P[0.2, 0.4]_Q[0, 1].json",0.014959812,0.004986763,0.086997271,0.106943846,1,0.200166072,0.200166072,0.672217053,0.466190385,2997
"Samples\AvailableSamples\S5\1_4\P[0.4, 0.6]_Q[0, 1].json",0.015956879,0.012965441,0.123669386,0.152591705,1,0.185108437,0.185108437,0.392237268,0.44033406,893
"Samples\AvailableSamples\S5\1_4\P[0.6, 0.8]_Q[0, 1].json",0.007978916,0.000998497,0.041886568,0.050863981,1,0.489571922,0.489571922,0.371246891,0.608011782,226
