Scene,Index,P,Q,Jaccard,Precision,Recall,20,30,,,,,,,,,,
S5,1_7,"[0.6, 0.8]","[0, 1]",0.5,0.633102303,0.316551151,,,,,,,,,,,,
S5,1_7,"[0.8, 1.0]","[0, 1]",1,0.732202178,0.732202178,,,,,,,,,,,,
S5,2_3,"[0, 0.2]","[0, 1]",0.933333333,0.205387834,0.205387834,,,,,,,,,,,,
S5,2_3,"[0.2, 0.4]","[0, 1]",0.833333333,0.22584578,0.11292289,,,,,,,,,,,,
S5,2_3,"[0.4, 0.6]","[0, 1]",0.833333333,0.248428467,0.124214233,,,,,,,,,,,,
S5,2_3,"[0.6, 0.8]","[0, 1]",1,0.204784451,0.204784451,,,,,,,,,,,,
S5,2_3,"[0.8, 1.0]","[0, 1]",1,0.372852046,0.372852046,,,,,,,,,,,,
S5,2_4,"[0, 0.2]","[0, 1]",1,0.183126129,0.091563065,,,,,,,,,,,,
S5,2_4,"[0.2, 0.4]","[0, 1]",0.833333333,0.22584578,0.11292289,,,,,,,,,,,,
S5,2_4,"[0.4, 0.6]","[0, 1]",0,0.230171502,0.115085751,,,,,,,,,,,,
S5,2_4,"[0.6, 0.8]","[0, 1]",0,0.230171502,0.115085751,,,,,,,,,,,,
S5,2_4,"[0.8, 1.0]","[0, 1]",1,0.377472203,0.377472203,,,,,,,,,,,,
S5,2_5,"[0, 0.2]","[0, 1]",0.633333333,0.672113379,0.336056689,,,,,,,,,,,,
S5,2_5,"[0.2, 0.4]","[0, 1]",0.933333333,0.524971101,0.26248555,,,,,,,,,,,,
S5,2_5,"[0.4, 0.6]","[0, 1]",0,0.642479786,0.321239893,,,,,,,,,,,,
S5,2_5,"[0.6, 0.8]","[0, 1]",1,0.617375875,0.617375875,,,,,,,,,,,,
S5,2_5,"[0.8, 1.0]","[0, 1]",1,0.786994005,0.786994005,,,,,,,,,,,,
S5,2_6,"[0, 0.2]","[0, 1]",0.933333333,0.224595446,0.112297723,,,,,,,,,,,,
S5,2_6,"[0.2, 0.4]","[0, 1]",0.9,0.202099412,0.101049706,,,,,,,,,,,,
S5,2_6,"[0.4, 0.6]","[0, 1]",0.833333333,0.264542929,0.132271465,,,,,,,,,,,,
S5,2_6,"[0.6, 0.8]","[0, 1]",0.933333333,0.264542929,0.132271465,,,,,,,,,,,,
S5,2_6,"[0.8, 1.0]","[0, 1]",1,0.487651671,0.487651671,,,,,,,,,,,,
S5,2_7,"[0, 0.2]","[0, 1]",1,0.28362715,0.141813575,,,,,,,,,,,,
S5,2_7,"[0.2, 0.4]","[0, 1]",0.8,0.477312547,0.238656274,,,,,,,,,,,,
S5,2_7,"[0.4, 0.6]","[0, 1]",1,0.677610913,0.338805457,,,,,,,,,,,,
S5,2_7,"[0.6, 0.8]","[0, 1]",0.933333333,0.557789825,0.278894913,,,,,,,,,,,,
S5,2_7,"[0.8, 1.0]","[0, 1]",1,0.507591949,0.507591949,,,,,,,,,,,,
S5,3_4,"[0, 0.2]","[0, 1]",0.633333333,0.104908295,0.052454147,,,,,,,,,,,,
S5,3_4,"[0.2, 0.4]","[0, 1]",0.7,0.227459222,0.113729611,,,,,,,,,,,,
S5,3_4,"[0.4, 0.6]","[0, 1]",0.833333333,0.186807599,0.186807599,,,,,,,,,,,,
S5,3_4,"[0.6, 0.8]","[0, 1]",0.966666667,0.204515616,0.102257808,,,,,,,,,,,,
S5,3_4,"[0.8, 1.0]","[0, 1]",1,0.590478198,0.590478198,,,,,,,,,,,,
S5,3_5,"[0, 0.2]","[0, 1]",0.966666667,0.379767386,0.189883693,,,,,,,,,,,,
S5,3_5,"[0.2, 0.4]","[0, 1]",0.766666667,0.554133814,0.277066907,,,,,,,,,,,,
S5,3_5,"[0.4, 0.6]","[0, 1]",0.666666667,0.573397221,0.286698611,,,,,,,,,,,,
S5,3_5,"[0.6, 0.8]","[0, 1]",1,0.585858041,0.585858041,,,,,,,,,,,,
S5,3_5,"[0.8, 1.0]","[0, 1]",1,0.707193196,0.707193196,,,,,,,,,,,,
S5,3_6,"[0, 0.2]","[0, 1]",0.966666667,0.180471259,0.09023563,,,,,,,,,,,,
S5,3_6,"[0.2, 0.4]","[0, 1]",0.866666667,0.204515616,0.102257808,,,,,,,,,,,,
