Scene,Sindex,Num,Noise_Rate,gamma,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf
S2,3,20,0.0,0.9,1.0,0.0,1.0,-0.9966736491498343,0.9667364914983425
S2,3,20,0.0,1.0,1.0,0.5,1.0,0.9966736491498343,0.002372381073580072
S2,3,20,0.2,0.2,1.0,0.7304087662086962,0.2695912337913038,-0.9503526687063043,0.2561600222039235
S2,3,20,0.2,0.3,1.0,0.7304087662086962,0.2695912337913038,-0.9503526687063043,0.25373874903523275
S2,3,20,0.2,0.4,1.0,0.7304087662086962,0.2695912337913038,-0.9503526687063043,0.25051038481031174
S2,3,20,0.2,0.5,1.0,0.7304087662086962,0.2695912337913038,-0.9503526687063043,0.24599067489542226
S2,3,20,0.2,0.6,1.0,0.0,1.0,0.48748798415248984,0.18231113678994698
S2,3,20,0.2,0.65,1.0,0.0,1.0,0.48748798415248984,0.24307352797704512
S2,3,20,0.2,0.7,1.0,0.0,1.0,0.48748798415248984,0.29515557756598626
S2,3,20,0.2,0.75,1.0,0.0,1.0,0.7237559778781849,0.03473473516122586
S2,3,20,0.2,0.8,1.0,0.0,1.0,0.7237559778781849,0.09460425539011989
S2,3,20,0.2,0.9,1.0,0.0,1.0,0.48748798415248984,0.4456148319340388
S2,3,20,0.2,1.0,1.0,0.0,1.0,0.48748798415248984,0.4982755709628571
S2,3,20,0.4,0.2,0.7058823529411765,0.7852732154771529,0.21472678452284708,-0.9170384154025247,0.19483245057151743
S2,3,20,0.4,0.3,0.7058823529411765,0.7852732154771529,0.21472678452284708,-0.9170384154025247,0.19161213918209444
S2,3,20,0.4,0.4,0.8571428571428571,0.5,1.0,0.32764210875747174,0.16958880759967565
S2,3,20,0.4,0.5,0.8571428571428571,0.5,1.0,0.32764210875747174,0.32317104607974045
S2,3,20,0.4,0.6,0.8571428571428571,0.8652043831043481,0.2695912337913038,0.3529729876038068,0.09219716514806402
S2,3,20,0.4,0.65,0.8571428571428571,0.5,1.0,0.32764210875747174,0.464939266215185
S2,3,20,0.4,0.7,0.8571428571428571,0.5,1.0,0.32764210875747174,0.49869360434267174
S2,3,20,0.4,0.75,0.8571428571428571,0.5,1.0,0.32764210875747174,0.5279473640531603
S2,3,20,0.4,0.8,0.8571428571428571,0.5,1.0,0.32764210875747174,0.5535444037998378
S2,3,20,0.4,0.9,0.8571428571428571,0.5,1.0,0.32764210875747174,0.5962061367109669
S2,3,20,0.4,1.0,0.8571428571428571,0.5,1.0,0.32764210875747174,0.6303355230398703
S2,3,20,0.6,0.2,0.47058823529411764,0.8563263051034412,0.14367369489655876,-0.8249446978426493,0.6139691555472969
S2,3,20,0.6,0.3,0.47058823529411764,0.8563263051034412,0.14367369489655876,-0.8249446978426493,0.589400454529054
S2,3,20,0.6,0.4,0.47058823529411764,0.8563263051034412,0.14367369489655876,-0.8249446978426493,0.5566421865047301
S2,3,20,0.6,0.5,0.47058823529411764,0.8563263051034412,0.14367369489655876,-0.8249446978426493,0.5107806112706766
S2,3,20,0.6,0.6,0.47058823529411764,0.8563263051034412,0.14367369489655876,-0.8249446978426493,0.4419882484195965
S2,3,20,0.6,0.65,0.47058823529411764,0.8563263051034412,0.14367369489655876,-0.8249446978426493,0.3928508463831106
S2,3,20,0.6,0.7,0.47058823529411764,0.8563263051034412,0.14367369489655876,-0.8249446978426493,0.3273343103344629
