Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,inertia,silhouette,calinski_harabasz
S4,3_4,20,0.2,1.0,0.12802617211698553,0.8719738278830145,0.3637666659085861,0.3110073021384593,0.12838905551830837,0.7623317049353525,122.17294591439246
S4,3_4,20,0.4,0.7058823529411765,0.01764941108166762,0.9823505889183324,0.3475022224383962,0.47002009390327665,0.09050898413389541,0.8266399311784196,180.8705756257151
S4,3_4,20,0.6,0.5333333333333333,0.3566030136555558,0.6433969863444442,0.5056148341441783,0.16908527109467406,0.09018470071486272,0.8191186721232725,170.5605026231947
S4,3_4,20,0.8,0.07142857142857142,0.44671818503539396,0.553281814964606,0.4554520860924414,0.18611797412953604,0.133876310536804,0.7454752266800803,116.44054447327849
S4,3_5,20,0.0,0.9,0.12802617211698553,0.8719738278830145,0.21104604605708566,0.45844171411452483,0.0377705460177748,0.9133778436563984,442.5928761923294
S4,3_5,20,0.2,1.0,0.0,1.0,0.21743261664045976,0.6576432814317115,0.02817025936485578,0.9127239411076594,536.9408565195516
S4,3_5,20,0.4,0.631578947368421,0.11946192440629022,0.8805380755937098,0.33068991192443076,0.25829723421952017,0.12264399720677097,0.7985032627674478,116.20589250138288
S4,3_5,20,0.6,0.47058823529411764,0.5266057429089204,0.4733942570910797,0.21787388949689712,0.4166475964700815,0.054938301297728996,0.8589099186237463,262.8275740268683
S4,3_5,20,0.8,0.2,0.5476250769580109,0.4523749230419891,0.2963298166286932,0.28833584526521916,0.178347594723197,0.7469774563666678,82.69406675405743
S4,4_5,20,0.0,0.8,0.0,0.5,-0.7468907208248621,0.11351736689529912,1.0,-1.0,0.0
S4,4_5,20,0.2,0.7894736842105263,0.4129746162708602,0.8805380755937098,0.6277193489600258,0.07017097845459618,0.42538098168792315,0.5619781143288916,30.783512581344258
S4,4_5,20,0.4,0.6470588235294118,0.13389362533986993,0.43305318733006504,-0.718632863536748,0.04119708567264048,1.0,-1.0,0.0
S4,4_5,20,0.6,0.3333333333333333,0.09402203841474766,0.9059779615852523,0.6612407626514692,0.03019615053720862,0.2208352853986622,0.6733521497009106,63.508690393758734
S4,4_5,20,0.8,0.26666666666666666,0.13711133548795795,0.862888664512042,0.48914059855713504,0.27124903479587326,0.09008480347471536,0.8109546214773273,181.38054445717412
Scene,Sindex,Num,Noise_Rate,Jaccard,LIP,MLMSSM,best_argminC,best_avgConf,inertia,silhouette,calinski_harabasz
S5,1_2,20,0.0,0.95,0.12420289639221793,0.8757971036077821,0.42623248711624384,0.25736644286578914,0.011914479489507841,0.9625119557844031,1491.5160560288143
S5,1_2,20,0.2,1.0,0.05425575133584504,0.945744248664155,0.24752436513337842,0.6139562951759278,0.03485445397400413,0.8960812339627696,470.2822538881944
S5,1_2,20,0.4,0.6,0.3262060902578443,0.6737939097421557,0.26970233860575654,0.3073554724244596,0.11631014345130611,0.8192534534716461,135.1965161649288
S5,1_2,20,0.6,0.35294117647058826,0.5755694781983469,0.6366457827024796,0.41213258475373243,0.2080322737674273,0.22845672581252927,0.7141141920149405,65.54085680588307
S5,1_2,20,0.8,0.2,0.6765202460223038,0.32347975397769624,0.6176848685690386,0.05879652245068669,0.19475099876587434,0.6723384517317735,73.63446092849632
S5,1_3,20,0.0,0.9,0.0,1.0,0.22380489858520103,0.6727278810909108,0.020144008965923506,0.9136123198658362,858.2505422770871
S5,1_3,20,0.2,0.9411764705882353,0.046978529935528424,0.9530214700644716,0.2614094615421927,0.6091535256358434,0.06897126833383437,0.8427324410424516,241.82545269240123
S5,1_3,20,0.4,0.6153846153846154,0.24439461293161036,0.7556053870683896,0.3013254092517883,0.16888732041140664,0.11477439930649448,0.7641720898942507,137.39707745242336
S5,1_3,20,0.6,0.5384615384615384,0.29490740107354607,0.7050925989264539,0.28338876355706677,0.32712973054192607,0.07413721091797305,0.823348054686214,222.7044463410943
S5,1_3,20,0.8,0.2857142857142857,0.46706362878644436,0.5329363712135556,0.3282061398674704,0.32348704943064327,0.1360894417088923,0.7487944204904046,111.8896387684036
S5,1_4,20,0.0,1.0,0.0,1.0,0.4675252661118097,0.32800019706735084,0.01726135639001477,0.9451360849181067,1019.8935204354683
S5,1_4,20,0.2,1.0,0.0,1.0,0.2614959252760034,0.5940053393176794,0.03715863114798487,0.8987756667424884,465.54950058562144
S5,1_4,20,0.4,0.75,0.33551401078246723,0.6644859892175328,0.2998252133850583,0.3506427278293798,0.06902305962365542,0.8579391982889056,242.7685114822412
S5,1_4,20,0.6,0.6666666666666666,0.6126837067184172,0.38731629328158285,0.47835368469953987,0.05916752069041946,0.13750437552578024,0.7527549541459014,112.83191538583496
S5,1_4,20,0.8,0.25,0.6356509912172024,0.3643490087827977,0.35314570218720104,0.4432051518165437,0.11705882800412891,0.7783628879001272,131.17242909896711
S5,1_5,20,0.0,0.9,0.006612859781764957,0.993387140218235,0.5354886503884216,0.2263680441608491,0.10555928272488986,0.7862411565723478,150.64362595170712
S5,1_5,20,0.2,0.875,0.006612859781764957,0.993387140218235,0.5257764811565816,0.22334915236156755,0.12206184998648248,0.7576585098749952,127.1887832662793
S5,1_5,20,0.4,0.6111111111111112,0.33333333333333337,1.0,0.5878357009411512,0.11476871080998319,0.27424786478236685,0.6966800246022731,53.03496976969659
S5,1_5,20,0.6,0.35294117647058826,0.5074228939511181,0.49257710604888194,0.5626563639765934,0.11657006709160228,0.12194202289605442,0.7754539276526116,129.5274961903716
S5,1_5,20,0.8,0.25,0.41699832253241886,0.5830016774675811,0.3740017666209413,0.28705229030206053,0.1454615924354499,0.7559056932192837,103.686928750072
S5,2_3,20,0.0,1.0,0.05425575133584504,0.945744248664155,0.1806326304106548,0.741953385127636,0.0035313335896246527,0.975577861752423,5055.83063314213
S5,2_3,20,0.2,0.6875,0.05425575133584504,0.945744248664155,0.10020417289930969,0.29371253437392253,0.02841658115039203,0.9018850113467044,613.8769953424423
S5,2_3,20,0.4,0.6875,0.31376116651417596,0.686238833485824,0.30076158059339425,0.35214569928844763,0.09773330900650057,0.7995582489458853,164.28457035463987
S5,2_3,20,0.6,0.5,0.542106997008109,0.45789300299189095,0.41203437511094854,0.38199521668955805,0.07330901001289705,0.8439883126271608,227.1796155766085
S5,2_3,20,0.8,0.2857142857142857,0.4604472036357663,0.5395527963642337,0.5132966656184723,0.24687388177149275,0.10998706848363532,0.7990685516458151,143.69167435571873
S5,2_4,20,0.0,1.0,0.0,1.0,0.34673045326713026,0.37101656392967813,4.815770642217059e-05,0.9973261340381134,373750.7307104116
S5,2_4,20,0.2,1.0,0.05425575133584504,0.945744248664155,0.22197782666024837,0.49615190689944855,0.0614541034265754,0.8727756118079473,241.80626015500064
S5,2_4,20,0.4,0.75,0.7606424206921198,0.3590363689618203,0.39571155631303967,0.22369558255350327,0.21672049354032563,0.7490459024017984,69.2903924161963
S5,2_4,20,0.6,0.5333333333333333,0.8385455658204561,0.16145443417954392,0.4986856182912541,0.163799814896422,0.20397745425612665,0.7389558483360004,70.21436595412389
S5,2_4,20,0.8,0.21052631578947367,0.9105605980852652,0.08943940191473473,0.5292324307615865,0.13119160550136624,0.20133595000403678,0.6902858572927068,68.75958412967589
S5,2_5,20,0.0,1.0,0.22538071965335083,0.7746192803466492,0.1557197478853132,0.5201483088992156,0.03852099228709195,0.9090469759553436,449.2696935449099
S5,2_5,20,0.2,1.0,0.1563062789564149,0.8436937210435851,0.2184246864798458,0.4505133551246652,0.08446260683167026,0.8313973998940154,183.17625154806197
S5,2_5,20,0.4,0.6,0.4211071951135541,0.5788928048864459,0.13440503616096716,0.6245925583969474,0.029160958258927387,0.9142754175018147,598.3125373663617
S5,2_5,20,0.6,0.4,0.5282212926175447,0.4717787073824553,0.6172251006661649,0.018142187324636655,0.26757255325832796,0.6194240273604329,49.03056425053679
S5,2_5,20,0.8,0.2857142857142857,0.7116333718169074,0.4325499422746387,0.41114677662139554,0.3041576106269535,0.26862370765954885,0.6763702589376307,54.33742641430462
S5,3_4,20,0.0,1.0,0.0,1.0,0.2097457627118644,0.700363196125908,0.008697909735101154,0.9591603215346496,2030.5660319290757
S5,3_4,20,0.2,0.8235294117647058,0.41946013444019314,0.5805398655598069,0.5125796673586671,0.07859665176695571,0.0637147656979859,0.8902646608650576,261.67478424499086
S5,3_4,20,0.4,0.75,0.09833120753649449,0.9016687924635055,0.3118334448229628,0.5331958175508752,0.14107829471496375,0.785547144852748,101.74373194890214
S5,3_4,20,0.6,0.6153846153846154,0.46821451716641405,0.531785482833586,0.32302046241303717,0.28596167871614536,0.06114498759778078,0.8487291184181421,263.55580135427294
